commit_sha,refactoring_type,instance_count,is_self_affirmed
02764e9de2f599b998723959fd3c7d1441ce4dce,Add Parameter,1,False
0276f78a819505f93d632998efd9e621e4650dac,Change Attribute Type,1,False
0276f78a819505f93d632998efd9e621e4650dac,Rename Attribute,1,False
027f4377bfe66889fe9df92a0306a3b26e09cd63,Rename Method,1,False
028c3551d567dd733cd134240c00508ccaa0bd72,Add Parameter,1,False
0296888dfa79de43dc925387c8a52eacaa95aaaf,Add Attribute Annotation,1,False
0296888dfa79de43dc925387c8a52eacaa95aaaf,Modify Attribute Annotation,1,False
0296888dfa79de43dc925387c8a52eacaa95aaaf,Modify Method Annotation,1,False
0296888dfa79de43dc925387c8a52eacaa95aaaf,Rename Attribute,2,False
0296888dfa79de43dc925387c8a52eacaa95aaaf,Rename Method,4,False
0296888dfa79de43dc925387c8a52eacaa95aaaf,Rename Parameter,6,False
029e8ae3e604f211e68fdb54d473fda70d2d6f8e,Extract Variable,1,False
029e8ae3e604f211e68fdb54d473fda70d2d6f8e,Rename Variable,1,False
02b7d0662257426c73f7ec66475a5ea7b1caa4a1,Add Attribute Annotation,2,False
02c0d02d4210ecb5657b10361bb92d719bc4fde0,Extract And Move Method,1,False
02c0d02d4210ecb5657b10361bb92d719bc4fde0,Extract Variable,1,False
02cc1b3ac47b005ea2f42fb97b37193452c21a5d,Add Parameter,1,False
02d7167cb8384e7ba42ece6e2f34bbf187b69760,Add Parameter,1,False
02d910aae8b84e3d4846ee7a9112734acc6b063d,Add Attribute Modifier,23,False
02d910aae8b84e3d4846ee7a9112734acc6b063d,Change Attribute Access Modifier,4,False
02d910aae8b84e3d4846ee7a9112734acc6b063d,Remove Attribute Annotation,15,False
02d910aae8b84e3d4846ee7a9112734acc6b063d,Rename Variable,2,False
02d910aae8b84e3d4846ee7a9112734acc6b063d,Replace Attribute With Variable,1,False
02f8ea54f0fb8efd1267865ccd0eed00446c760a,Extract Variable,1,False
02fab51c0c97274a65dc24628daf9e1be55074ba,Change Attribute Type,1,False
02fab51c0c97274a65dc24628daf9e1be55074ba,Change Parameter Type,1,False
02fab51c0c97274a65dc24628daf9e1be55074ba,Change Variable Type,11,False
02fab51c0c97274a65dc24628daf9e1be55074ba,Rename Variable,1,False
02fdf67b1e6a53df60c1566c3bab51a90beb4d9b,Add Attribute Modifier,2,False
02fdf67b1e6a53df60c1566c3bab51a90beb4d9b,Add Class Modifier,1,False
02fdf67b1e6a53df60c1566c3bab51a90beb4d9b,Add Parameter,4,False
02fdf67b1e6a53df60c1566c3bab51a90beb4d9b,Change Attribute Type,2,False
02fdf67b1e6a53df60c1566c3bab51a90beb4d9b,Change Variable Type,2,False
02fdf67b1e6a53df60c1566c3bab51a90beb4d9b,Rename Attribute,1,False
0308b4362adc5e07a88a0859a87ea19020ab29f7,Add Parameter,3,False
0318b8f7439a575711c389079d58d53cf8d7d64a,Extract Variable,1,False
031cc8fc884339033d29ec195a2fe0510727dfd5,Add Method Annotation,3,True
031cc8fc884339033d29ec195a2fe0510727dfd5,Change Class Access Modifier,1,True
031cc8fc884339033d29ec195a2fe0510727dfd5,Change Parameter Type,2,True
031cc8fc884339033d29ec195a2fe0510727dfd5,Change Variable Type,2,True
031cc8fc884339033d29ec195a2fe0510727dfd5,Extract Interface,1,True
031cc8fc884339033d29ec195a2fe0510727dfd5,Move And Rename Class,1,True
031cc8fc884339033d29ec195a2fe0510727dfd5,Move Class,1,True
031cc8fc884339033d29ec195a2fe0510727dfd5,Rename Variable,1,True
031cc8fc884339033d29ec195a2fe0510727dfd5,Replace Variable With Attribute,1,True
031d5b0ccbb0c78999c3abbdba33ea01a7a1a386,Change Variable Type,1,False
032263c13a3ae6136c13e38dd158ec51573b1ecb,Change Attribute Type,5,False
032263c13a3ae6136c13e38dd158ec51573b1ecb,Change Parameter Type,3,False
032263c13a3ae6136c13e38dd158ec51573b1ecb,Change Return Type,2,False
032263c13a3ae6136c13e38dd158ec51573b1ecb,Change Variable Type,39,False
032263c13a3ae6136c13e38dd158ec51573b1ecb,Rename Class,43,False
