metric_category,metric_name,observation_count,unique_commit_count,median_delta,mean_delta,std_delta,q1_delta,q3_delta,iqr_delta,min_delta,max_delta,improved_commits,worsened_commits,unchanged_commits,improvement_rate,worsening_rate,wilcoxon_stat,wilcoxon_p_value,rank_biserial_effect,wilcoxon_p_value_fdr
design_smell,Multifaceted Abstraction,2952,2952,0.0,-0.007452574525745257,0.28857891895679344,0.0,0.0,0.0,-12.0,3.0,9,3,2940,0.003048780487804878,0.0010162601626016261,23.5,0.24072265625,0.5,0.33879484953703703
design_smell,Multipath Hierarchy,2952,2952,0.0,-0.0033875338753387536,0.13267893866776656,0.0,0.0,0.0,-5.0,1.0,3,2,2947,0.0010162601626016261,0.0006775067750677507,3.0,0.3125,0.2,0.40948275862068967
design_smell,Rebellious Hierarchy,2952,2952,0.0,-0.029471544715447155,1.1006951449133522,0.0,0.0,0.0,-46.0,1.0,4,2,2946,0.0013550135501355014,0.0006775067750677507,4.0,0.25,0.3333333333333333,0.3392857142857143
design_smell,Unexploited Encapsulation,2952,2952,0.0,-0.010501355013550135,0.3756991936969061,0.0,0.0,0.0,-19.0,1.0,5,1,2946,0.0016937669376693768,0.00033875338753387534,1.5,0.09375,0.6666666666666666,0.1484375
design_smell,Unnecessary Abstraction,2952,2952,0.0,-0.2225609756097561,9.026773963269013,0.0,0.0,0.0,-437.0,19.0,39,52,2861,0.013211382113821139,0.017615176151761516,1795.5,0.21805946582752533,-0.14285714285714285,0.31870229620946006
design_smell,Unutilized Abstraction,2952,2952,0.0,-2.5877371273712737,108.98589463332281,0.0,0.0,0.0,-5191.0,75.0,154,395,2403,0.0521680216802168,0.13380758807588075,42916.5,1.290316468313777e-19,-0.43897996357012753,7.004575113703361e-19
design_smell,Wide Hierarchy,2952,2952,0.0,-0.018631436314363144,0.816491451048365,0.0,0.0,0.0,-39.0,1.0,3,6,2943,0.0010162601626016261,0.0020325203252032522,21.0,1.0,-0.3333333333333333,1.0
implementation_smell,Abstract Function Call From Constructor,2952,2952,0.0,-0.012533875338753388,0.6033264403023529,0.0,0.0,0.0,-32.0,1.0,2,2,2948,0.0006775067750677507,0.0006775067750677507,3.0,0.625,0.0,0.6785714285714286
implementation_smell,Complex Conditional,2952,2952,0.0,-0.940379403794038,47.966315765279866,0.0,0.0,0.0,-2587.0,39.0,55,170,2727,0.018631436314363144,0.05758807588075881,6612.0,9.147079406435345e-11,-0.5111111111111111,3.8621001938282564e-10
implementation_smell,Complex Method,2952,2952,0.0,-1.4867886178861789,77.79858010691323,0.0,0.0,0.0,-4215.0,33.0,44,238,2670,0.014905149051490514,0.08062330623306233,6757.5,1.6627093079248475e-24,-0.6879432624113475,1.0530492283524034e-23
implementation_smell,Empty catch clause,2952,2952,0.0,-0.8282520325203252,35.554282727272714,0.0,0.0,0.0,-1780.0,8.0,31,93,2828,0.010501355013550135,0.031504065040650404,2245.0,2.920679197443305e-05,-0.5,7.399053966856372e-05
implementation_smell,Long Identifier,2952,2952,0.0,-1.6852981029810299,74.76608201334734,0.0,0.0,0.0,-3915.0,13.0,10,19,2923,0.0033875338753387536,0.006436314363143632,187.0,0.5082781443256597,-0.3103448275862069,0.585289984375002
implementation_smell,Long Method,2952,2952,0.0,-0.31910569105691056,15.508230641449584,0.0,0.0,0.0,-835.0,4.0,12,49,2891,0.0040650406504065045,0.01659891598915989,458.0,0.00012221718944880648,-0.6065573770491803,0.0002902658249409154
implementation_smell,Long Parameter List,2952,2952,0.0,-0.40853658536585363,19.93760002122585,0.0,0.0,0.0,-1038.0,13.0,21,139,2792,0.007113821138211382,0.04708672086720867,2144.5,4.3978946416243927e-14,-0.7375,2.0889999547715864e-13
implementation_smell,Long Statement,2952,2952,0.0,-13.67039295392954,507.57165456354716,0.0,0.0,0.0,-24656.0,47.0,236,645,2071,0.07994579945799458,0.2184959349593496,97010.0,4.387481927541719e-39,-0.4642451759364359,3.3344862649317063e-38
