metric_category,metric_name,motivation_label,observation_count,unique_commit_count,median_delta,mean_delta,q1_delta,q3_delta,improvement_rate,worsening_rate
design_smell,Multifaceted Abstraction,logical_mismatch,231,231,0.0,0.0,0.0,0.0,0.0,0.0
design_smell,Multifaceted Abstraction,maintainability,431,431,0.0,-0.02320185614849188,0.0,0.0,0.004640371229698376,0.0
design_smell,Multifaceted Abstraction,readability,538,538,0.0,-0.0018587360594795538,0.0,0.0,0.0037174721189591076,0.0018587360594795538
design_smell,Multifaceted Abstraction,repurpose_reuse,33,33,0.0,0.09090909090909091,0.0,0.0,0.0,0.030303030303030304
design_smell,Multifaceted Abstraction,slow_performance,21,21,0.0,0.0,0.0,0.0,0.0,0.0
design_smell,Multifaceted Abstraction,testability,57,57,0.0,0.0,0.0,0.0,0.0,0.0
design_smell,Multipath Hierarchy,dependency,37,37,0.0,0.0,0.0,0.0,0.0,0.0
design_smell,Multipath Hierarchy,duplication,8,8,0.0,0.0,0.0,0.0,0.0,0.0
design_smell,Multipath Hierarchy,hard_to_debug,23,23,0.0,0.0,0.0,0.0,0.0,0.0
design_smell,Multipath Hierarchy,legacy_code,25,25,0.0,0.0,0.0,0.0,0.0,0.0
design_smell,Multipath Hierarchy,logical_mismatch,231,231,0.0,0.0,0.0,0.0,0.0,0.0
design_smell,Multipath Hierarchy,maintainability,431,431,0.0,-0.0069605568445475635,0.0,0.0,0.002320185614849188,0.004640371229698376
design_smell,Multipath Hierarchy,readability,538,538,0.0,0.0,0.0,0.0,0.0,0.0
design_smell,Multipath Hierarchy,repurpose_reuse,33,33,0.0,0.0,0.0,0.0,0.0,0.0
design_smell,Multipath Hierarchy,slow_performance,21,21,0.0,0.0,0.0,0.0,0.0,0.0
design_smell,Multipath Hierarchy,testability,57,57,0.0,-0.07017543859649122,0.0,0.0,0.017543859649122806,0.0
design_smell,Rebellious Hierarchy,dependency,37,37,0.0,-0.02702702702702703,0.0,0.0,0.02702702702702703,0.0
design_smell,Rebellious Hierarchy,duplication,8,8,0.0,0.0,0.0,0.0,0.0,0.0
design_smell,Rebellious Hierarchy,hard_to_debug,23,23,0.0,0.0,0.0,0.0,0.0,0.0
design_smell,Rebellious Hierarchy,legacy_code,25,25,0.0,0.0,0.0,0.0,0.0,0.0
design_smell,Rebellious Hierarchy,logical_mismatch,231,231,0.0,0.0,0.0,0.0,0.0,0.0
design_smell,Rebellious Hierarchy,maintainability,431,431,0.0,-0.10440835266821345,0.0,0.0,0.002320185614849188,0.002320185614849188
design_smell,Rebellious Hierarchy,readability,538,538,0.0,0.0,0.0,0.0,0.0,0.0
design_smell,Rebellious Hierarchy,repurpose_reuse,33,33,0.0,0.0,0.0,0.0,0.0,0.0
design_smell,Rebellious Hierarchy,slow_performance,21,21,0.0,0.0,0.0,0.0,0.0,0.0
design_smell,Rebellious Hierarchy,testability,57,57,0.0,-0.07017543859649122,0.0,0.0,0.017543859649122806,0.0
design_smell,Unexploited Encapsulation,dependency,37,37,0.0,0.0,0.0,0.0,0.0,0.0
design_smell,Unexploited Encapsulation,duplication,8,8,0.0,0.0,0.0,0.0,0.0,0.0
design_smell,Unexploited Encapsulation,hard_to_debug,23,23,0.0,0.0,0.0,0.0,0.0,0.0
design_smell,Unexploited Encapsulation,legacy_code,25,25,0.0,0.0,0.0,0.0,0.0,0.0
design_smell,Unexploited Encapsulation,logical_mismatch,231,231,0.0,0.004329004329004329,0.0,0.0,0.0,0.004329004329004329
design_smell,Unexploited Encapsulation,maintainability,431,431,0.0,-0.01160092807424594,0.0,0.0,0.002320185614849188,0.0
design_smell,Unexploited Encapsulation,readability,538,538,0.0,0.0,0.0,0.0,0.0,0.0
design_smell,Unexploited Encapsulation,repurpose_reuse,33,33,0.0,0.0,0.0,0.0,0.0,0.0
design_smell,Unexploited Encapsulation,slow_performance,21,21,0.0,0.0,0.0,0.0,0.0,0.0
design_smell,Unexploited Encapsulation,testability,57,57,0.0,-0.08771929824561403,0.0,0.0,0.017543859649122806,0.0
design_smell,Unnecessary Abstraction,dependency,37,37,0.0,-1.2972972972972974,0.0,0.0,0.02702702702702703,0.0
design_smell,Unnecessary Abstraction,duplication,8,8,0.0,-0.125,0.0,0.0,0.125,0.0
design_smell,Unnecessary Abstraction,hard_to_debug,23,23,0.0,0.043478260869565216,0.0,0.0,0.0,0.043478260869565216
design_smell,Unnecessary Abstraction,legacy_code,25,25,0.0,0.0,0.0,0.0,0.0,0.0
design_smell,Unnecessary Abstraction,logical_mismatch,231,231,0.0,0.012987012987012988,0.0,0.0,0.0,0.004329004329004329
design_smell,Unnecessary Abstraction,maintainability,431,431,0.0,-0.9605568445475638,0.0,0.0,0.02320185614849188,0.02088167053364269
design_smell,Unnecessary Abstraction,readability,538,538,0.0,0.0055762081784386614,0.0,0.0,0.0018587360594795538,0.0055762081784386614
design_smell,Unnecessary Abstraction,repurpose_reuse,33,33,0.0,0.30303030303030304,0.0,0.0,0.030303030303030304,0.12121212121212122
design_smell,Unnecessary Abstraction,slow_performance,21,21,0.0,-0.047619047619047616,0.0,0.0,0.047619047619047616,0.0
design_smell,Unnecessary Abstraction,testability,57,57,0.0,-0.14035087719298245,0.0,0.0,0.03508771929824561,0.05263157894736842
design_smell,Unutilized Abstraction,dependency,37,37,0.0,-2.054054054054054,0.0,0.0,0.08108108108108109,0.08108108108108109
design_smell,Unutilized Abstraction,duplication,8,8,0.0,0.125,-0.75,0.25,0.25,0.25
design_smell,Unutilized Abstraction,hard_to_debug,23,23,0.0,-0.2608695652173913,0.0,0.0,0.043478260869565216,0.08695652173913043
design_smell,Unutilized Abstraction,legacy_code,25,25,0.0,-0.28,0.0,0.0,0.16,0.08
design_smell,Unutilized Abstraction,logical_mismatch,231,231,0.0,0.09523809523809523,0.0,0.0,0.017316017316017316,0.07792207792207792
