metric_category,metric_name,motivation_label,observation_count,unique_commit_count,median_delta,mean_delta,q1_delta,q3_delta,improvement_rate,worsening_rate
design_smell,Missing Hierarchy,logical_mismatch,443,443,0.0,0.004514672686230248,0.0,0.0,0.0,0.004514672686230248
design_smell,Missing Hierarchy,maintainability,1018,1018,0.0,-0.03929273084479371,0.0,0.0,0.0029469548133595285,0.0
design_smell,Missing Hierarchy,readability,1096,1096,0.0,0.0,0.0,0.0,0.0009124087591240876,0.0009124087591240876
design_smell,Missing Hierarchy,repurpose_reuse,89,89,0.0,0.0,0.0,0.0,0.0,0.0
design_smell,Missing Hierarchy,slow_performance,45,45,0.0,0.0,0.0,0.0,0.0,0.0
design_smell,Missing Hierarchy,testability,97,97,0.0,-0.041237113402061855,0.0,0.0,0.010309278350515464,0.0
design_smell,Multifaceted Abstraction,dependency,59,59,0.0,0.0,0.0,0.0,0.0,0.0
design_smell,Multifaceted Abstraction,duplication,21,21,0.0,0.0,0.0,0.0,0.0,0.0
design_smell,Multifaceted Abstraction,hard_to_debug,37,37,0.0,0.0,0.0,0.0,0.0,0.0
design_smell,Multifaceted Abstraction,legacy_code,47,47,0.0,0.0,0.0,0.0,0.0,0.0
design_smell,Multifaceted Abstraction,logical_mismatch,443,443,0.0,0.0,0.0,0.0,0.0,0.0
design_smell,Multifaceted Abstraction,maintainability,1018,1018,0.0,-0.02455795677799607,0.0,0.0,0.005893909626719057,0.0
design_smell,Multifaceted Abstraction,readability,1096,1096,0.0,0.0,0.0,0.0,0.002737226277372263,0.0018248175182481751
design_smell,Multifaceted Abstraction,repurpose_reuse,89,89,0.0,0.033707865168539325,0.0,0.0,0.0,0.011235955056179775
design_smell,Multifaceted Abstraction,slow_performance,45,45,0.0,0.0,0.0,0.0,0.0,0.0
design_smell,Multifaceted Abstraction,testability,97,97,0.0,0.0,0.0,0.0,0.0,0.0
design_smell,Multipath Hierarchy,dependency,59,59,0.0,0.0,0.0,0.0,0.0,0.0
design_smell,Multipath Hierarchy,duplication,21,21,0.0,0.0,0.0,0.0,0.0,0.0
design_smell,Multipath Hierarchy,hard_to_debug,37,37,0.0,0.0,0.0,0.0,0.0,0.0
design_smell,Multipath Hierarchy,legacy_code,47,47,0.0,0.0,0.0,0.0,0.0,0.0
design_smell,Multipath Hierarchy,logical_mismatch,443,443,0.0,0.0,0.0,0.0,0.0,0.0
design_smell,Multipath Hierarchy,maintainability,1018,1018,0.0,-0.005893909626719057,0.0,0.0,0.0019646365422396855,0.0019646365422396855
design_smell,Multipath Hierarchy,readability,1096,1096,0.0,0.0,0.0,0.0,0.0,0.0
design_smell,Multipath Hierarchy,repurpose_reuse,89,89,0.0,0.0,0.0,0.0,0.0,0.0
design_smell,Multipath Hierarchy,slow_performance,45,45,0.0,0.0,0.0,0.0,0.0,0.0
design_smell,Multipath Hierarchy,testability,97,97,0.0,-0.041237113402061855,0.0,0.0,0.010309278350515464,0.0
design_smell,Rebellious Hierarchy,dependency,59,59,0.0,-0.01694915254237288,0.0,0.0,0.01694915254237288,0.0
design_smell,Rebellious Hierarchy,duplication,21,21,0.0,0.0,0.0,0.0,0.0,0.0
design_smell,Rebellious Hierarchy,hard_to_debug,37,37,0.0,0.0,0.0,0.0,0.0,0.0
design_smell,Rebellious Hierarchy,legacy_code,47,47,0.0,0.0,0.0,0.0,0.0,0.0
design_smell,Rebellious Hierarchy,logical_mismatch,443,443,0.0,0.0,0.0,0.0,0.0,0.0
design_smell,Rebellious Hierarchy,maintainability,1018,1018,0.0,-0.08055009823182711,0.0,0.0,0.0019646365422396855,0.0019646365422396855
design_smell,Rebellious Hierarchy,readability,1096,1096,0.0,0.0,0.0,0.0,0.0,0.0
design_smell,Rebellious Hierarchy,repurpose_reuse,89,89,0.0,0.0,0.0,0.0,0.0,0.0
design_smell,Rebellious Hierarchy,slow_performance,45,45,0.0,0.0,0.0,0.0,0.0,0.0
design_smell,Rebellious Hierarchy,testability,97,97,0.0,-0.041237113402061855,0.0,0.0,0.010309278350515464,0.0
design_smell,Unexploited Encapsulation,dependency,59,59,0.0,0.0,0.0,0.0,0.0,0.0
design_smell,Unexploited Encapsulation,duplication,21,21,0.0,0.0,0.0,0.0,0.0,0.0
design_smell,Unexploited Encapsulation,hard_to_debug,37,37,0.0,0.0,0.0,0.0,0.0,0.0
design_smell,Unexploited Encapsulation,legacy_code,47,47,0.0,0.0,0.0,0.0,0.0,0.0
design_smell,Unexploited Encapsulation,logical_mismatch,443,443,0.0,0.002257336343115124,0.0,0.0,0.0,0.002257336343115124
design_smell,Unexploited Encapsulation,maintainability,1018,1018,0.0,-0.025540275049115914,0.0,0.0,0.0029469548133595285,0.0
design_smell,Unexploited Encapsulation,readability,1096,1096,0.0,-0.0009124087591240876,0.0,0.0,0.0009124087591240876,0.0
design_smell,Unexploited Encapsulation,repurpose_reuse,89,89,0.0,0.0,0.0,0.0,0.0,0.0
design_smell,Unexploited Encapsulation,slow_performance,45,45,0.0,0.0,0.0,0.0,0.0,0.0
