commit_sha,metric,before_total,after_total,delta_total,observation_count,improvement_rate_pct
0357ce5730cdc3f788d39c5a045b2e58b9b5fa58,FANOUT,1.0,1.0,0.0,1,0.0
0357ce5730cdc3f788d39c5a045b2e58b9b5fa58,LCOM,0.0,0.0,0.0,1,
0357ce5730cdc3f788d39c5a045b2e58b9b5fa58,LOC,15.0,15.0,0.0,1,0.0
0357ce5730cdc3f788d39c5a045b2e58b9b5fa58,NOF,1.0,1.0,0.0,1,0.0
0357ce5730cdc3f788d39c5a045b2e58b9b5fa58,NOM,2.0,2.0,0.0,1,0.0
0357ce5730cdc3f788d39c5a045b2e58b9b5fa58,WMC,4.0,4.0,0.0,1,0.0
03fc488be99d332af7460023e3339a7270d974c6,DIT,0.0,0.0,0.0,2,
03fc488be99d332af7460023e3339a7270d974c6,FANIN,3.0,3.0,0.0,2,0.0
03fc488be99d332af7460023e3339a7270d974c6,FANOUT,2.0,2.0,0.0,2,0.0
03fc488be99d332af7460023e3339a7270d974c6,LCOM,1.3214285714285714,1.1,-0.22142857142857142,2,16.75675675675675
03fc488be99d332af7460023e3339a7270d974c6,LOC,173.0,181.0,8.0,2,-4.624277456647398
03fc488be99d332af7460023e3339a7270d974c6,NOF,4.0,6.0,2.0,2,-50.0
03fc488be99d332af7460023e3339a7270d974c6,NOM,11.0,13.0,2.0,2,-18.181818181818183
03fc488be99d332af7460023e3339a7270d974c6,WMC,33.0,35.0,2.0,2,-6.0606060606060606
046b559c8551a15c143f76ca14756a003b5be810,DIT,0.0,0.0,0.0,1,
046b559c8551a15c143f76ca14756a003b5be810,FANIN,1.0,1.0,0.0,1,0.0
046b559c8551a15c143f76ca14756a003b5be810,FANOUT,0.0,0.0,0.0,1,
046b559c8551a15c143f76ca14756a003b5be810,LCOM,0.5,-1.0,-1.5,1,300.0
046b559c8551a15c143f76ca14756a003b5be810,LOC,95.0,25.0,-70.0,1,73.68421052631578
046b559c8551a15c143f76ca14756a003b5be810,NOF,5.0,5.0,0.0,1,0.0
046b559c8551a15c143f76ca14756a003b5be810,NOM,10.0,0.0,-10.0,1,100.0
046b559c8551a15c143f76ca14756a003b5be810,WMC,10.0,0.0,-10.0,1,100.0
04776b5ccd67b29f353b7c722894f82264bb43d2,DIT,0.0,0.0,0.0,2,
04776b5ccd67b29f353b7c722894f82264bb43d2,FANIN,3.0,3.0,0.0,2,0.0
04776b5ccd67b29f353b7c722894f82264bb43d2,FANOUT,4.0,4.0,0.0,2,0.0
04776b5ccd67b29f353b7c722894f82264bb43d2,LCOM,-2.0,-2.0,0.0,2,
04776b5ccd67b29f353b7c722894f82264bb43d2,LOC,9.0,9.0,0.0,2,0.0
04776b5ccd67b29f353b7c722894f82264bb43d2,NOF,0.0,0.0,0.0,2,
04776b5ccd67b29f353b7c722894f82264bb43d2,NOM,5.0,5.0,0.0,2,0.0
04776b5ccd67b29f353b7c722894f82264bb43d2,WMC,5.0,5.0,0.0,2,0.0
