commit_sha,metric,before_total,after_total,delta_total,observation_count,improvement_rate_pct
01d0bd1f06e4ae99a01e782bcafbf85b96e2f903,PC,2.0,3.0,1.0,1,-50.0
01d95af3785cdb0624fc5e846df5fc24bdd6202a,CC,14.0,8.0,-6.0,2,42.857142857142854
01d95af3785cdb0624fc5e846df5fc24bdd6202a,LOC,60.0,34.0,-26.0,2,43.333333333333336
01d95af3785cdb0624fc5e846df5fc24bdd6202a,PC,6.0,6.0,0.0,2,0.0
01e91227002fa51432355f94c696ae1da9b30236,CC,12.0,7.0,-5.0,3,41.66666666666667
01e91227002fa51432355f94c696ae1da9b30236,LOC,50.0,23.0,-27.0,3,54.0
01e91227002fa51432355f94c696ae1da9b30236,PC,6.0,4.0,-2.0,3,33.33333333333333
01f2a80289594792bc67b5659d64eabcd81e42ad,CC,1.0,1.0,0.0,1,0.0
01f2a80289594792bc67b5659d64eabcd81e42ad,LOC,7.0,7.0,0.0,1,0.0
01f2a80289594792bc67b5659d64eabcd81e42ad,PC,2.0,3.0,1.0,1,-50.0
01f710145174661a1067bb9c61d5cc864e22601d,CC,1.0,1.0,0.0,1,0.0
01f710145174661a1067bb9c61d5cc864e22601d,LOC,4.0,8.0,4.0,1,-100.0
01f710145174661a1067bb9c61d5cc864e22601d,PC,2.0,2.0,0.0,1,0.0
02078a9b58868b9e70f293fb02fd0d2eebf91022,CC,7.0,7.0,0.0,7,0.0
02078a9b58868b9e70f293fb02fd0d2eebf91022,LOC,36.0,39.0,3.0,7,-8.333333333333332
02078a9b58868b9e70f293fb02fd0d2eebf91022,PC,10.0,9.0,-1.0,7,10.0
0207905ccea44ad0abfa791749611fc7927578df,CC,2.0,2.0,0.0,2,0.0
0207905ccea44ad0abfa791749611fc7927578df,LOC,9.0,10.0,1.0,2,-11.11111111111111
0207905ccea44ad0abfa791749611fc7927578df,PC,3.0,4.0,1.0,2,-33.33333333333333
021509f197106247567dbce8e5fe1f569e1188d7,CC,1.0,1.0,0.0,1,0.0
021509f197106247567dbce8e5fe1f569e1188d7,LOC,12.0,17.0,5.0,1,-41.66666666666667
021509f197106247567dbce8e5fe1f569e1188d7,PC,1.0,1.0,0.0,1,0.0
0228a33d80d197b697565f88c640bb15efbda4fd,CC,89.0,79.0,-10.0,58,11.235955056179774
0228a33d80d197b697565f88c640bb15efbda4fd,LOC,423.0,317.0,-106.0,58,25.059101654846334
0228a33d80d197b697565f88c640bb15efbda4fd,PC,25.0,25.0,0.0,58,0.0
0230b03bfa151b141ef57aefae80013b08f40cc0,CC,1.0,1.0,0.0,1,0.0
0230b03bfa151b141ef57aefae80013b08f40cc0,LOC,3.0,4.0,1.0,1,-33.33333333333333
0230b03bfa151b141ef57aefae80013b08f40cc0,PC,1.0,2.0,1.0,1,-100.0
0259e65ad6ac485393c20d15bd7ff10683fb44a1,CC,4.0,4.0,0.0,2,0.0
0259e65ad6ac485393c20d15bd7ff10683fb44a1,LOC,40.0,25.0,-15.0,2,37.5
0259e65ad6ac485393c20d15bd7ff10683fb44a1,PC,0.0,1.0,1.0,2,
026138a16f307e6876f7e6faa433a920c7c46b98,CC,187.0,34.0,-153.0,11,81.81818181818183
026138a16f307e6876f7e6faa433a920c7c46b98,LOC,1339.0,172.0,-1167.0,11,87.1545929798357
026138a16f307e6876f7e6faa433a920c7c46b98,PC,21.0,22.0,1.0,11,-4.761904761904762
026e0baa0b67e44cc2b8167d895d3991de77663c,CC,2.0,2.0,0.0,2,0.0
026e0baa0b67e44cc2b8167d895d3991de77663c,LOC,4.0,4.0,0.0,2,0.0
026e0baa0b67e44cc2b8167d895d3991de77663c,PC,2.0,2.0,0.0,2,0.0
02764e9de2f599b998723959fd3c7d1441ce4dce,CC,1.0,1.0,0.0,1,0.0
02764e9de2f599b998723959fd3c7d1441ce4dce,LOC,7.0,8.0,1.0,1,-14.285714285714285
02764e9de2f599b998723959fd3c7d1441ce4dce,PC,5.0,6.0,1.0,1,-20.0
028c3551d567dd733cd134240c00508ccaa0bd72,CC,1.0,1.0,0.0,1,0.0
028c3551d567dd733cd134240c00508ccaa0bd72,LOC,3.0,4.0,1.0,1,-33.33333333333333
028c3551d567dd733cd134240c00508ccaa0bd72,PC,1.0,2.0,1.0,1,-100.0
0296888dfa79de43dc925387c8a52eacaa95aaaf,CC,5.0,5.0,0.0,5,0.0
0296888dfa79de43dc925387c8a52eacaa95aaaf,LOC,12.0,12.0,0.0,5,0.0
0296888dfa79de43dc925387c8a52eacaa95aaaf,PC,6.0,6.0,0.0,5,0.0
02cc1b3ac47b005ea2f42fb97b37193452c21a5d,CC,1.0,1.0,0.0,1,0.0
02cc1b3ac47b005ea2f42fb97b37193452c21a5d,LOC,4.0,5.0,1.0,1,-25.0
02cc1b3ac47b005ea2f42fb97b37193452c21a5d,PC,1.0,2.0,1.0,1,-100.0
02d7167cb8384e7ba42ece6e2f34bbf187b69760,CC,1.0,1.0,0.0,1,0.0
02d7167cb8384e7ba42ece6e2f34bbf187b69760,LOC,4.0,5.0,1.0,1,-25.0
02d7167cb8384e7ba42ece6e2f34bbf187b69760,PC,2.0,3.0,1.0,1,-50.0
0308b4362adc5e07a88a0859a87ea19020ab29f7,CC,3.0,3.0,0.0,3,0.0
0308b4362adc5e07a88a0859a87ea19020ab29f7,LOC,19.0,22.0,3.0,3,-15.789473684210526
0308b4362adc5e07a88a0859a87ea19020ab29f7,PC,6.0,9.0,3.0,3,-50.0
0331565ed3326fbf6f8e5aff7bf786b9ca219044,CC,3.0,3.0,0.0,3,0.0
0331565ed3326fbf6f8e5aff7bf786b9ca219044,LOC,48.0,22.0,-26.0,3,54.166666666666664
0331565ed3326fbf6f8e5aff7bf786b9ca219044,PC,6.0,6.0,0.0,3,0.0
