entity_kind,refactoring_type,metric,count,mean,median,std,min,max
type,Change Return Type,LCOM,12,0.033499361430395905,0.0,0.10167328475916325,-0.03888888888888892,0.3333333333333333
type,Change Return Type,LOC,12,15.083333333333334,7.5,25.353709907242493,-7.0,88.0
type,Change Return Type,NOF,12,1.6666666666666667,1.0,2.6400183654090306,-1.0,8.0
type,Change Return Type,NOM,12,2.75,0.5,4.5151260930746595,-2.0,14.0
type,Change Return Type,WMC,12,3.5,0.5,6.543560331973858,-2.0,22.0
type,Change Type Declaration Kind,DIT,19,0.0,0.0,0.0,0.0,0.0
type,Change Type Declaration Kind,FANIN,19,0.21052631578947367,0.0,0.41885390829169555,0.0,1.0
type,Change Type Declaration Kind,FANOUT,19,0.3157894736842105,0.0,0.7492686492653552,-1.0,1.0
type,Change Type Declaration Kind,LCOM,19,0.2631578947368421,0.0,0.7334928056269077,-1.0,2.0
type,Change Type Declaration Kind,LOC,19,15.210526315789474,2.0,31.71151026111711,-24.0,72.0
type,Change Type Declaration Kind,NOF,19,0.2631578947368421,0.0,1.147078669352809,-2.0,2.0
type,Change Type Declaration Kind,NOM,19,1.894736842105263,1.0,3.381234765290883,-3.0,7.0
type,Change Type Declaration Kind,WMC,19,3.210526315789474,1.0,5.583496986342093,-3.0,13.0
type,Extract Class,DIT,226,-0.01327433628318584,0.0,0.11470109930986212,-1.0,0.0
type,Extract Class,FANIN,226,-0.017699115044247787,0.0,0.5246340673473613,-3.0,3.0
type,Extract Class,FANOUT,226,0.21238938053097345,1.0,1.800993935130158,-12.0,8.0
type,Extract Class,LCOM,226,-0.007083328073628458,0.0,0.29585266267000737,-1.8,2.0
type,Extract Class,LOC,226,-27.902654867256636,-7.0,82.03651919608272,-929.0,99.0
type,Extract Class,NOF,226,-1.5575221238938053,0.0,5.397016547187853,-65.0,6.0
type,Extract Class,NOM,226,-0.915929203539823,0.0,2.786796372473642,-18.0,7.0
type,Extract Class,WMC,226,-4.438053097345133,-1.0,10.50325510250414,-82.0,13.0
type,Extract Interface,DIT,45,0.6666666666666666,1.0,0.47673129462279623,0.0,1.0
type,Extract Interface,FANIN,45,0.0,0.0,0.8528028654224417,-1.0,5.0
type,Extract Interface,FANOUT,45,-0.022222222222222223,0.0,0.14907119849998596,-1.0,0.0
type,Extract Interface,LCOM,45,0.014725311552650501,0.0,0.06050681266550246,0.0,0.2857142857142857
type,Extract Interface,LOC,45,4.733333333333333,0.0,23.627218510553767,-61.0,96.0
type,Extract Interface,NOF,45,0.0,0.0,0.0,0.0,0.0
type,Extract Interface,NOM,45,-0.06666666666666667,0.0,3.0925129528647672,-10.0,12.0
type,Extract Interface,WMC,45,-0.06666666666666667,0.0,3.0925129528647672,-10.0,12.0
type,Extract Subclass,DIT,4,0.0,0.0,0.0,0.0,0.0
type,Extract Subclass,FANIN,4,-0.25,0.0,0.5,-1.0,0.0
type,Extract Subclass,FANOUT,4,-0.75,-0.5,0.9574271077563381,-2.0,0.0
type,Extract Subclass,LCOM,4,-0.7619047619047619,-1.0,0.4761904761904762,-1.0,-0.047619047619047616
type,Extract Subclass,LOC,4,-52.5,-37.0,56.15751656427362,-133.0,-3.0
type,Extract Subclass,NOF,4,-3.25,-3.5,2.0615528128088303,-5.0,-1.0
type,Extract Subclass,NOM,4,-2.5,-2.0,3.3166247903554,-7.0,1.0
type,Extract Subclass,WMC,4,-7.0,-6.0,6.683312551921141,-16.0,0.0
type,Extract Superclass,DIT,63,0.6507936507936508,1.0,0.5130154420970242,0.0,2.0
type,Extract Superclass,FANIN,63,0.2222222222222222,0.0,0.7501493280253724,-1.0,3.0
type,Extract Superclass,FANOUT,63,0.2222222222222222,0.0,1.0842634551359598,-4.0,5.0
type,Extract Superclass,LCOM,63,0.042405370318904144,0.0,0.5926103080471787,-1.5,1.4
type,Extract Superclass,LOC,63,-8.873015873015873,-1.0,30.3546202379484,-142.0,61.0
type,Extract Superclass,NOF,63,-0.6666666666666666,0.0,1.45912037134176,-5.0,4.0
type,Extract Superclass,NOM,63,-0.09523809523809523,0.0,2.493309018503553,-7.0,9.0
type,Extract Superclass,WMC,63,-1.619047619047619,0.0,5.398412465054625,-20.0,11.0
type,Merge Class,DIT,3,0.0,0.0,0.0,0.0,0.0
type,Merge Class,FANIN,3,-1.6666666666666667,0.0,3.7859388972001824,-6.0,1.0
type,Merge Class,FANOUT,3,0.3333333333333333,0.0,0.5773502691896258,0.0,1.0
type,Merge Class,LCOM,3,-0.06666666666666667,0.0,0.11547005383792516,-0.2,0.0
type,Merge Class,LOC,3,31.0,0.0,77.31106001084191,-26.0,119.0
type,Merge Class,NOF,3,0.6666666666666666,0.0,1.1547005383792517,0.0,2.0
type,Merge Class,NOM,3,7.333333333333333,7.0,7.505553499465135,0.0,15.0
type,Merge Class,WMC,3,17.0,8.0,22.869193252058544,0.0,43.0
type,Modify Class Annotation,DIT,567,0.003527336860670194,0.0,0.05933889800751902,0.0,1.0
type,Modify Class Annotation,FANIN,567,0.031746031746031744,0.0,0.3072405723670461,-3.0,4.0
type,Modify Class Annotation,FANOUT,567,0.06349206349206349,0.0,0.4321739885574602,-2.0,3.0
type,Modify Class Annotation,LCOM,567,0.01606880686151283,0.0,0.18846597560117942,-1.5555555555555556,2.0
type,Modify Class Annotation,LOC,567,-1.876543209876543,0.0,18.082523727471735,-193.0,61.0
type,Modify Class Annotation,NOF,567,0.021164021164021163,0.0,0.6877859594765358,-6.0,5.0
type,Modify Class Annotation,NOM,567,0.0564373897707231,0.0,1.1482003152016702,-18.0,4.0
type,Modify Class Annotation,WMC,567,0.014109347442680775,0.0,1.6419237646125342,-18.0,9.0
type,Move And Rename Class,DIT,109,-0.009174311926605505,0.0,0.3966389543082647,-3.0,1.0
type,Move And Rename Class,FANIN,109,-0.03669724770642202,0.0,1.304739263753967,-3.0,11.0
type,Move And Rename Class,FANOUT,109,0.03669724770642202,0.0,0.7061450578157012,-3.0,2.0
type,Move And Rename Class,LCOM,109,0.04009746100274973,0.0,0.35390490343606534,-1.6666666666666665,2.0
type,Move And Rename Class,LOC,109,-0.7798165137614679,0.0,15.85545694014638,-134.0,52.0
type,Move And Rename Class,NOF,109,0.06422018348623854,0.0,0.8636188862571073,-4.0,4.0
type,Move And Rename Class,NOM,109,0.22935779816513763,0.0,1.2811527471522859,-3.0,7.0
type,Move And Rename Class,WMC,109,0.24770642201834864,0.0,3.283392450970186,-16.0,20.0
type,Move Class,DIT,1891,-0.010576414595452142,0.0,0.11218954036470552,-1.0,1.0
type,Move Class,FANIN,1891,-0.08143839238498149,0.0,1.6544726117570956,-50.0,9.0
type,Move Class,FANOUT,1891,0.0005288207297726071,0.0,0.3077478105684371,-5.0,5.0
type,Move Class,LCOM,1891,-0.00027700879964462626,0.0,0.042769258782788026,-1.0,1.4
type,Move Class,LOC,1891,0.07191961924907457,0.0,3.1624632864240416,-88.0,82.0
type,Move Class,NOF,1891,-0.0026441036488630354,0.0,0.3228402224779408,-13.0,4.0
type,Move Class,NOM,1891,0.0015864621893178213,0.0,0.4222610094632548,-15.0,8.0
type,Move Class,WMC,1891,-0.0015864621893178213,0.0,0.5506106473549633,-17.0,10.0
type,Move Package,DIT,10,0.0,0.0,0.0,0.0,0.0
type,Move Package,FANIN,10,-0.3,0.0,0.48304589153964794,-1.0,0.0
type,Move Package,FANOUT,10,0.0,0.0,0.0,0.0,0.0
type,Move Package,LCOM,10,0.0,0.0,0.0,0.0,0.0
type,Move Package,LOC,10,0.0,0.0,0.0,0.0,0.0
type,Move Package,NOF,10,0.0,0.0,0.0,0.0,0.0
type,Move Package,NOM,10,0.0,0.0,0.0,0.0,0.0
type,Move Package,WMC,10,0.0,0.0,0.0,0.0,0.0
type,Move Source Folder,DIT,98,0.02040816326530612,0.0,0.142118858106802,0.0,1.0
type,Move Source Folder,FANIN,98,0.09183673469387756,0.0,0.6593770051535847,-1.0,5.0
